INFO  - 2014-06-29 20:33:21.749; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83692 (1472304724572110848)]} 0 1
INFO  - 2014-06-29 20:33:21.752; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83673 (1472304724575256576)]} 0 1
INFO  - 2014-06-29 20:33:21.752; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83693 (1472304724576305152)]} 0 0
INFO  - 2014-06-29 20:33:21.754; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83673 (1472304724577353728)]} 0 1
INFO  - 2014-06-29 20:33:21.754; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83693 (1472304724578402304)]} 0 0
INFO  - 2014-06-29 20:33:21.755; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83674 (1472304724579450880)]} 0 0
INFO  - 2014-06-29 20:33:21.756; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83694 (1472304724580499456)]} 0 0
INFO  - 2014-06-29 20:33:21.758; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83675 (1472304724582596608)]} 0 0
INFO  - 2014-06-29 20:33:21.758; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83695 (1472304724582596609)]} 0 0
INFO  - 2014-06-29 20:33:21.760; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83675 (1472304724584693760)]} 0 0
INFO  - 2014-06-29 20:33:21.760; org.apache.solr.update.processor.LogUpdateProcessor; [alliance] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83695 (1472304724584693761)]} 0 0
INFO  - 2014-06-29 20:33:21.762; org.apache.solr.update.processor.LogUpdateProcessor; [participant] webapp=/solr path=/update params={wt=javabin&version=2} {add=[83676 (1472304724586790912)]} 0 0
